obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""361.05077""","=""361.0508""","=""1000""","=""1.3e+08""",D,"=""3.94603913""","=""7.3790423""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""3""",,"=""T4515""","=""L3486""",
"=""361.28729""","=""361.28724""","=""800""","=""3.5e+07""",D,"=""3.94603913""","=""7.37679547""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""T4515""","=""L3486""",
"=""361.44529""","=""361.44529""","=""60""","=""""",,"=""3.94603913""","=""7.37529526""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""364.95584""","=""364.95568""","=""20""","=""""",,"=""3.94603913""","=""7.34231125""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""""","=""L3486""",
"=""398.19257""","=""398.19257""","=""10""","=""""",,"=""5.41716521""","=""8.5299591""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.9s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""414.02988""","=""414.03021""","=""""","=""4.7e+06""",D,"=""5.41716521""","=""8.41088977""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7d""","=""1D""","=""2""",,"=""T4515""","=""L3486c92""",
"=""430.66718""","=""430.66718""","=""8""","=""""",,"=""5.41716521""","=""8.2952423""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.8s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""441.29894""","=""441.29894""","=""3""","=""""",,"=""3.80087037""","=""6.6096101""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""466.23520""","=""466.23520""","=""8""","=""5.5e+06""",C,"=""5.41716521""","=""8.07568386""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.6d""","=""1D""","=""2""",,"=""T4515""","=""L3486""",
"=""467.81493""","=""467.81500""","=""200""","=""1.3e+07""",C,"=""3.73365891""","=""6.38319999""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""479.99123""","=""479.99121""","=""300""","=""4.1e+07""",C,"=""3.80087037""","=""6.38319999""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""508.58217""","=""508.58214""","=""1000w""","=""5.6e+07""",C,"=""3.94603913""","=""6.38319999""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""515.46605""","=""515.46618""","=""6""","=""""",,"=""5.41716521""","=""7.82177823""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""609.91421""","=""609.9142""","=""300""","=""""",,"=""6.38319999""","=""8.4154511""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.8p""","=""3P*""","=""2""",,"=""""","=""L3486""",
"=""611.1495""","=""611.1495""","=""100""","=""""",,"=""6.38319999""","=""8.411343""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.8p""","=""3P*""","=""1""",,"=""""","=""L3486""",
"=""632.51661""","=""632.51689""","=""100""","=""""",,"=""5.41716521""","=""7.37679547""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""633.00133""","=""633.00149""","=""30""","=""""",,"=""5.41716521""","=""7.37529526""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""643.84695""","=""643.84695""","=""2000""","=""5.9e+07""",C,"=""5.41716521""","=""7.34231125""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""T4515""","=""L3486""",
"=""677.81157""","=""677.8116""","=""30""","=""""",,"=""6.6096101""","=""8.4382893""","=""4d10.5s.6s""","=""1S""","=""0""","=""4d10.5s.8p""","=""1P*""","=""1""",,"=""""","=""L3486""",
"=""734.56704""","=""734.5665""","=""1000""","=""""",,"=""6.38319999""","=""8.0705905""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.7p""","=""3P*""","=""2""",,"=""""","=""L3486""",
"=""820.03089""","=""820.0309""","=""5""","=""""",,"=""6.6096101""","=""8.1211401""","=""4d10.5s.6s""","=""1S""","=""0""","=""4d10.5s.7p""","=""1P*""","=""1""",,"=""""","=""L3486""",
"=""929.2""","=""928.30""","=""20*""","=""""",,"=""7.2699""","=""8.6051431""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""3""",,"=""""","=""L7381""",
"=""929.2""","=""928.52""","=""20*""","=""""",,"=""7.2699""","=""8.6048236""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""2""",,"=""""","=""L7381""",
"=""929.2""","=""928.66""","=""20*""","=""""",,"=""7.2699""","=""8.6046150""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""1""",,"=""""","=""L7381""",
