obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""515.19610""","=""0.00004""","=""515.19612""","=""0.00004""","=""750""","=""1.71e+06""",C+,"=""18.61270528""","=""21.01857880""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""515.44271""","=""0.00004""","=""515.44252""","=""0.00004""","=""500""","=""1.29e+06""",C+,"=""18.61270528""","=""21.01742872""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L3451""",
"=""515.66672""","=""0.00004""","=""515.66670""","=""0.00004""","=""500""","=""1.51e+05""",C,"=""18.61270528""","=""21.01638327""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""515.89018""","=""0.00004""","=""515.89000""","=""0.00004""","=""500""","=""1.12e+06""",C+,"=""18.71137667""","=""21.11401428""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L3451""",
"=""516.34847""","=""0.00030""","=""516.34791""","=""0.00004""","=""100""","=""4.08e+05""",C,"=""18.61270528""","=""21.01321219""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L4498""",
"=""518.2320""","=""0.0020""","=""518.23190""","=""0.00011""","=""20""","=""""",,"=""18.96595369""","=""21.3577339""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""518.86122""","=""0.00004""","=""518.86121""","=""0.00004""","=""1500""","=""""",,"=""18.55510805""","=""20.94398733""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
"=""519.13223""","=""0.00004""","=""519.13208""","=""0.00004""","=""350""","=""8.66e+05""",C+,"=""18.72638145""","=""21.11401428""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L3451""",
"=""519.31251""","=""0.00030""","=""519.31238""","=""0.00004""","=""1500""","=""9.15e+05""",C+,"=""18.72638145""","=""21.11318538""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L4498""",
"=""519.3224""","=""0.0001""","=""519.32270""","=""0.00004""","=""1500""","=""1.58e+06""",C+,"=""18.72638145""","=""21.11313791""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L7292""",
"=""520.38962""","=""0.00004""","=""520.38951""","=""0.00004""","=""1500""","=""2.31e+06""",C+,"=""18.63679156""","=""21.01865519""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L3451""",
