element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Na,2,"=""250.6301""","=""0.0003""","=""250.6302""","=""0.0009""","=""450""","=""2.7e+07""",C+,"=""36.354688""","=""41.300096""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,3,"=""251.0264""","=""0.0005""","=""251.0264""","=""0.0018""","=""17""","=""2.19e+08""",A,"=""45.507242""","=""50.444845""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",,"=""c51,T7317""","=""L1882""",
Na,2,"=""251.5455""","=""0.0003""","=""251.5457""","=""0.0009""","=""600""","=""2.25e+07""",C+,"=""36.354688""","=""41.282097""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""252.5647""","=""0.0003""","=""252.5649""","=""0.0009""","=""50""","=""2.78e+05""",D,"=""36.354688""","=""41.262215""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,3,"=""253.0249""","=""0.0005""","=""253.0246""","=""0.0018""","=""15""","=""3.65e+07""",B+,"=""45.507242""","=""50.405854""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",,"=""c51,T7317""","=""L1882""",
Na,2,"=""253.1538""","=""0.0003""","=""253.1540""","=""0.0009""","=""600""","=""8.44e+07""",C+,"=""36.354688""","=""41.250796""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",,"=""T7663""","=""L914""",
Na,3,"=""254.2791""","=""0.0005""","=""254.2799""","=""0.0018""","=""14""","=""3.39e+07""",B+,"=""45.570413""","=""50.444845""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",,"=""c51,T7317""","=""L1882""",
Na,3,"=""255.354""","=""0.0010""","=""255.3546""","=""0.0018""","=""4d""","=""5.52e+07""",A,"=""45.507242""","=""50.361160""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",,"=""c51,T7317""","=""L7396""",
Na,3,"=""256.332""","=""0.0010""","=""256.3304""","=""0.0019""","=""4d""","=""7.92e+07""",A,"=""45.570413""","=""50.405854""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",,"=""c51,T7317""","=""L7396""",
Na,2,"=""258.6308""","=""0.0003""","=""258.6307""","=""0.0009""","=""550""","=""5.80e+07""",C,"=""36.354688""","=""41.147123""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
Na,2,"=""259.4958""","=""0.0003""","=""259.4959""","=""0.0010""","=""600""","=""3.71e+07""",B,"=""36.354688""","=""41.131145""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""260.0325""","=""0.0003""","=""260.0324""","=""0.0010""","=""45""","=""4.9e+05""",E,"=""36.354688""","=""41.121292""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036c79""","=""L914""",
Na,2,"=""261.1812""","=""0.0003""","=""261.1811""","=""0.0010""","=""850""","=""2.2e+08""",E,"=""36.354688""","=""41.100329""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""266.0997""","=""0.0003""","=""266.0997""","=""0.0010""","=""850""","=""1.65e+08""",B+,"=""36.354688""","=""41.012615""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""267.1826""","=""0.0003""","=""267.1829""","=""0.0010""","=""1000""","=""2.64e+08""",B+,"=""36.354688""","=""40.993732""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""267.8085""","=""0.0003""","=""267.8085""","=""0.0010""","=""850""","=""3.01e+08""",B,"=""36.354688""","=""40.982896""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",,"=""T6036""","=""L914""",
Na,2,"=""279.9211""","=""0.0003""","=""279.9217""","=""0.0011""","=""80""","=""2.64e+06""",D+,"=""36.854157""","=""41.282097""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""280.8706""","=""0.0003""","=""280.8705""","=""0.0011""","=""650""","=""1.5e+07""",E,"=""36.854157""","=""41.267140""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663c79""","=""L914""",
Na,2,"=""280.9520""","=""0.0003""","=""280.9520""","=""0.0011""","=""850""","=""5.95e+07""",A,"=""32.846429""","=""37.258133""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""281.1840""","=""0.0003""","=""281.1843""","=""0.0011""","=""160""","=""1.01e+06""",D+,"=""36.854157""","=""41.262215""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""281.3900""","=""0.0003""","=""281.3906""","=""0.0011""","=""250""","=""6.9e+06""",E,"=""36.902113""","=""41.306940""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""281.8288""","=""0.0003""","=""281.8285""","=""0.0011""","=""350""","=""1.2e+07""",E,"=""36.902113""","=""41.300096""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""282.9868""","=""0.0003""","=""282.9867""","=""0.0011""","=""600""","=""3.36e+07""",B,"=""36.902113""","=""41.282097""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""283.9564""","=""0.0003""","=""283.9564""","=""0.0011""","=""800""","=""5.1e+07""",E,"=""36.902113""","=""41.267140""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663c79""","=""L914""",
Na,2,"=""284.1724""","=""0.0003""","=""284.1721""","=""0.0011""","=""1000""","=""8.92e+07""",A,"=""32.846429""","=""37.208144""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""284.2762""","=""0.0003""","=""284.2772""","=""0.0011""","=""30""","=""5.23e+05""",D,"=""36.902113""","=""41.262215""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
