element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Na,2,"=""298.4186""","=""0.0003""","=""298.4174""","=""0.0013""","=""1300bl*""","=""1.74e+07""",B,"=""32.941315""","=""37.094827""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""298.4186""","=""0.0003""","=""298.4191""","=""0.0013""","=""1300bl*""","=""2.4e+08""",E,"=""36.967803""","=""41.121292""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036c79""","=""L914""",
Na,2,"=""300.4149""","=""0.0003""","=""300.4151""","=""0.0013""","=""550""","=""1.7e+07""",E,"=""37.181047""","=""41.306940""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c80""","=""L914""",
Na,2,"=""300.7442""","=""0.0003""","=""300.7446""","=""0.0013""","=""750""","=""1.68e+07""",B+,"=""32.846429""","=""36.967803""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""300.9137""","=""0.0003""","=""300.9143""","=""0.0013""","=""750""","=""3.0e+07""",D,"=""37.181047""","=""41.300096""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""301.5395""","=""0.0003""","=""301.5400""","=""0.0013""","=""600""","=""1.51e+07""",C+,"=""36.902113""","=""41.012615""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""302.2348""","=""0.0003""","=""302.2350""","=""0.0013""","=""160""","=""6.91e+05""",D+,"=""37.181047""","=""41.282097""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""302.400""","=""0.010""","=""302.4012""","=""0.0013""","=""130""","=""2.3e+06""",E,"=""37.208144""","=""41.306940""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""302.9070""","=""0.0003""","=""302.9070""","=""0.0013""","=""400""","=""9.9e+07""",E,"=""37.208144""","=""41.300096""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""302.9320""","=""0.0003""","=""302.9316""","=""0.0013""","=""40""","=""6.32e+06""",C,"=""36.902113""","=""40.993732""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""303.7076""","=""0.0003""","=""303.7075""","=""0.0013""","=""400""","=""2.55e+08""",B+,"=""37.181047""","=""41.262215""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""304.2461""","=""0.0003""","=""304.2453""","=""0.0013""","=""350""","=""7.49e+05""",D,"=""37.208144""","=""41.282097""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
